timestamp,time,open,high,low,close,volume
2026-01-09T00:00:00,1767906000,1.18324,1.18437,1.18318,1.18612,9978
2026-01-09T07:12:00,1767931920,1.17889,1.18133,1.17443,1.18072,12176
2026-01-09T14:24:00,1767957840,1.17596,1.17928,1.1752,1.17529,11198
2026-01-09T21:36:00,1767983760,1.17732,1.17764,1.17436,1.17533,14616
2026-01-10T04:48:00,1768009680,1.17169,1.17617,1.16786,1.17429,9588
2026-01-10T12:00:00,1768035600,1.1826,1.18501,1.1809,1.1809,7508
2026-01-10T19:12:00,1768061520,1.17906,1.18008,1.17633,1.17866,11149
2026-01-11T02:24:00,1768087440,1.1819,1.18342,1.17699,1.18208,12375
2026-01-11T09:36:00,1768113360,1.17994,1.18446,1.17798,1.17901,12628
2026-01-11T16:48:00,1768139280,1.17748,1.18096,1.17582,1.17466,6174
2026-01-12T00:00:00,1768165200,1.17643,1.17655,1.1725,1.17794,14190
2026-01-12T07:12:00,1768191120,1.1809,1.18496,1.18048,1.17965,10474
2026-01-12T14:24:00,1768217040,1.17614,1.17982,1.17532,1.17683,11572
2026-01-12T21:36:00,1768242960,1.17194,1.17664,1.17005,1.17202,11357
2026-01-13T04:48:00,1768268880,1.17958,1.18404,1.17599,1.18208,12950
2026-01-13T12:00:00,1768294800,1.18891,1.19235,1.18697,1.18696,11984
2026-01-13T19:12:00,1768320720,1.18246,1.18272,1.18031,1.1836,9156
2026-01-14T02:24:00,1768346640,1.18086,1.18405,1.17654,1.18187,8024
2026-01-14T09:36:00,1768372560,1.18627,1.18659,1.18507,1.18342,14942
2026-01-14T16:48:00,1768398480,1.1914,1.19577,1.18796,1.18925,8720
2026-01-15T00:00:00,1768424400,1.18928,1.18974,1.18535,1.18918,7680
2026-01-15T07:12:00,1768450320,1.19128,1.19438,1.18797,1.19361,13432
2026-01-15T14:24:00,1768476240,1.19139,1.19274,1.18684,1.19226,13935
2026-01-15T21:36:00,1768502160,1.18841,1.19295,1.18732,1.18889,12694
2026-01-16T04:48:00,1768528080,1.18078,1.1819,1.17878,1.18193,14696
2026-01-16T12:00:00,1768554000,1.18026,1.18427,1.17904,1.17894,13770
2026-01-16T19:12:00,1768579920,1.1712,1.17583,1.171,1.17303,10813
2026-01-17T02:24:00,1768605840,1.17328,1.17407,1.17223,1.17066,7665
2026-01-17T09:36:00,1768631760,1.17752,1.18211,1.1748,1.17667,8820
2026-01-17T16:48:00,1768657680,1.18018,1.18515,1.17876,1.18288,10383
2026-01-18T00:00:00,1768683600,1.17732,1.18113,1.17729,1.17721,6129
2026-01-18T07:12:00,1768709520,1.17079,1.17574,1.16846,1.17083,10867
2026-01-18T14:24:00,1768735440,1.17728,1.17865,1.17445,1.1761,11079
