timestamp,Open,High,Low,Close,Volume
2026-01-10T16:31:46.208093,1.18144,1.18406,1.178,1.18275,11813
2026-01-10T17:31:46.208093,1.17993,1.1806,1.17986,1.17879,7138
2026-01-10T18:31:46.208093,1.18756,1.18824,1.18408,1.18894,10079
2026-01-10T19:31:46.208093,1.18246,1.18514,1.18156,1.18248,7894
2026-01-10T20:31:46.208093,1.1751,1.17763,1.17275,1.17484,10099
2026-01-10T21:31:46.208093,1.16539,1.16953,1.16222,1.16308,13419
2026-01-10T22:31:46.208093,1.1608,1.16415,1.15789,1.16024,11038
2026-01-10T23:31:46.208093,1.15724,1.15858,1.15263,1.15924,12282
2026-01-11T00:31:46.208093,1.15005,1.15094,1.14793,1.14712,13013
2026-01-11T01:31:46.208093,1.1544,1.15815,1.15297,1.15266,10282
2026-01-11T02:31:46.208093,1.15296,1.1572,1.14854,1.1516,14770
2026-01-11T03:31:46.208093,1.1458,1.14918,1.14181,1.14291,12112
2026-01-11T04:31:46.208093,1.14787,1.15137,1.14516,1.14622,7517
2026-01-11T05:31:46.208093,1.15529,1.15762,1.15058,1.15725,12596
2026-01-11T06:31:46.208093,1.15229,1.15304,1.15033,1.15461,6002
2026-01-11T07:31:46.208093,1.14911,1.15145,1.14733,1.14956,5902
2026-01-11T08:31:46.208093,1.15513,1.16005,1.15442,1.15762,9006
2026-01-11T09:31:46.208093,1.16174,1.16377,1.16173,1.16353,8121
2026-01-11T10:31:46.208093,1.17293,1.17647,1.17282,1.17311,7036
2026-01-11T11:31:46.208093,1.17347,1.17573,1.17241,1.17601,11038
2026-01-11T12:31:46.208093,1.18127,1.18371,1.17811,1.18012,5830
2026-01-11T13:31:46.208093,1.17368,1.17629,1.17175,1.17155,8927
2026-01-11T14:31:46.208093,1.17038,1.17217,1.16893,1.16909,9412
2026-01-11T15:31:46.208093,1.16036,1.16215,1.15866,1.15975,5439
2026-01-11T16:31:46.208093,1.15832,1.16056,1.15477,1.15597,14818
2026-01-11T17:31:46.208093,1.15113,1.15525,1.1474,1.1516,14122
2026-01-11T18:31:46.208093,1.14564,1.1476,1.14414,1.14553,14269
2026-01-11T19:31:46.208093,1.15448,1.15656,1.15062,1.1525,14598
